PK-PVT-22000081,,10:00:00,11:00:00,Wednesday,NULL,81
PK-PVT-22000082,,10:00:00,11:00:00,Saturday,NULL,82
PK-PVT-22000083,,17:00:00,20:00:00,Monday,NULL,83
PK-PVT-22000084,,17:00:00,20:00:00,Tuesday,NULL,84
PK-PVT-22000085,,17:00:00,20:00:00,Wednesday,NULL,85
PK-PVT-22000086,,17:00:00,20:00:00,Thursday,NULL,86
PK-PVT-22000087,,17:00:00,20:00:00,Friday,NULL,87
PK-PVT-22000088,,17:00:00,20:00:00,Saturday,NULL,88
PK-PVT-22000089,,14:00:00,16:00:00,Wednesday,NULL,89
PK-PVT-22000090,,10:30:00,13:30:00,Monday,NULL,90
PK-PVT-22000091,,10:30:00,13:30:00,Thursday,NULL,91
PK-PVT-22000092,,18:00:00,20:00:00,Tuesday,NULL,92
PK-PVT-22000093,,18:00:00,20:00:00,Thursday,NULL,93
PK-PVT-22000094,,17:30:00,18:30:00,Tuesday,NULL,94
PK-PVT-22000095,,18:00:00,19:30:00,Thursday,NULL,95
PK-PVT-22000096,,18:00:00,19:30:00,Saturday,NULL,96
PK-PVT-22000097,,11:00:00,13:00:00,Monday,NULL,97
PK-PVT-22000098,,11:00:00,13:00:00,Tuesday,NULL,98
PK-PVT-22000099,,11:00:00,13:00:00,Wednesday,NULL,99
PK-PVT-22000100,,11:00:00,13:00:00,Thursday,NULL,100
PK-PVT-22000101,,19:00:00,21:00:00,Tuesday,NULL,101
PK-PVT-22000102,,19:00:00,21:00:00,Thursday,NULL,102
PK-PVT-22000103,,19:00:00,21:00:00,Saturday,NULL,103
PK-PVT-22000104,,14:00:00,17:30:00,Monday,NULL,104
PK-PVT-22000105,,18:00:00,19:00:00,Tuesday,NULL,105
PK-PVT-22000106,,18:00:00,19:00:00,Thursday,NULL,106
PK-PVT-22000107,,15:00:00,18:00:00,Monday,NULL,107
PK-PVT-22000108,,15:00:00,18:00:00,Tuesday,NULL,108
PK-PVT-22000109,,15:00:00,18:00:00,Wednesday,NULL,109
PK-PVT-22000110,,15:00:00,18:00:00,Thursday,NULL,110
PK-PVT-22000111,,15:00:00,18:00:00,Friday,NULL,111
PK-PVT-22000112,,15:00:00,18:00:00,Saturday,NULL,112
PK-PVT-22000113,,17:30:00,19:30:00,Monday,NULL,113
PK-PVT-22000114,,17:30:00,19:30:00,Tuesday,NULL,114
PK-PVT-22000115,,17:30:00,19:30:00,Wednesday,NULL,115
PK-PVT-22000116,,17:30:00,19:30:00,Thursday,NULL,116
PK-PVT-22000117,,17:30:00,19:30:00,Friday,NULL,117
PK-PVT-22000118,,17:30:00,19:30:00,Saturday,NULL,118
PK-PVT-22000119,,22:00:00,23:30:00,Monday,NULL,119
PK-PVT-22000120,,22:00:00,23:30:00,Wednesday,NULL,120
PK-PVT-22000121,,22:00:00,23:30:00,Friday,NULL,121
PK-PVT-22000122,,22:00:00,23:30:00,Tuesday,NULL,122
PK-PVT-22000123,,22:00:00,23:30:00,Thursday,NULL,123
PK-PVT-22000124,,22:00:00,23:30:00,Saturday,NULL,124
PK-PVT-22000125,,17:00:00,22:00:00,Monday,NULL,125
PK-PVT-22000126,,17:00:00,22:00:00,Tuesday,NULL,126
PK-PVT-22000127,,17:00:00,22:00:00,Wednesday,NULL,127
PK-PVT-22000128,,21:00:00,22:00:00,Monday,NULL,128
PK-PVT-22000129,,21:00:00,22:00:00,Wednesday,NULL,129
PK-PVT-22000130,,21:00:00,22:00:00,Friday,NULL,130
PK-PVT-22000131,,9:30:00,16:30:00,Tuesday,NULL,131
PK-PVT-22000132,,9:30:00,16:30:00,Friday,NULL,132
PK-PVT-22000133,,14:30:00,17:00:00,Wednesday,NULL,133
PK-PVT-22000134,,15:00:00,17:30:00,Wednesday,NULL,134
PK-PVT-22000135,,15:00:00,17:30:00,Friday,NULL,135
PK-PVT-22000136,,NULL,NULL,On_Call,On_Call,136
PK-PVT-22000137,,9:30:00,14:30:00,Monday,NULL,137
PK-PVT-22000138,,9:30:00,14:30:00,Tuesday,NULL,138
PK-PVT-22000139,,9:30:00,14:30:00,Wednesday,NULL,139
PK-PVT-22000140,,9:30:00,14:30:00,Thursday,NULL,140
PK-PVT-22000141,,9:30:00,14:30:00,Friday,NULL,141
PK-PVT-22000142,,9:30:00,13:30:00,Saturday,NULL,142
PK-PVT-22000143,,NULL,NULL,On_Call,On_Call,143
PK-PVT-22000144,,18:00:00,20:00:00,Friday,NULL,144
PK-PVT-22000145,,15:00:00,19:00:00,Friday,NULL,145
PK-PVT-22000146,,15:00:00,16:00:00,Monday,NULL,146
PK-PVT-22000147,,15:00:00,16:00:00,Tuesday,NULL,147
PK-PVT-22000148,,15:00:00,16:00:00,Wednesday,NULL,148
PK-PVT-22000149,,15:00:00,16:00:00,Thursday,NULL,149
PK-PVT-22000150,,15:00:00,16:00:00,Friday,NULL,150
PK-PVT-22000151,,16:00:00,18:00:00,Monday,NULL,151
PK-PVT-22000152,,16:00:00,18:00:00,Wednesday,NULL,152
PK-PVT-22000153,,16:00:00,18:00:00,Friday,NULL,153
PK-PVT-22000154,,11:30:00,13:00:00,On_Call,NULL,154
PK-PVT-22000155,,NULL,NULL,Monday,On_Call,155
PK-PVT-22000156,,NULL,NULL,Tuesday,On_Call,156
PK-PVT-22000157,,NULL,NULL,Wednesday,On_Call,157
PK-PVT-22000158,,NULL,NULL,Thursday,On_Call,158
PK-PVT-22000159,,NULL,NULL,Friday,On_Call,159
PK-PVT-22000160,,NULL,NULL,Saturday,On_Call,160
PK-PVT-22000161,,NULL,NULL,Friday,On_Call,161
PK-PVT-22000162,,NULL,NULL,Saturday,On_Call,162
PK-PVT-22000163,,NULL,NULL,Monday,On_Call,163
PK-PVT-22000164,,NULL,NULL,Tuesday,On_Call,164
PK-PVT-22000165,,NULL,NULL,Wednesday,On_Call,165
PK-PVT-22000166,,NULL,NULL,Thursday,On_Call,166
PK-PVT-22000167,,NULL,NULL,Friday,On_Call,167
PK-PVT-22000168,,NULL,NULL,Saturday,On_Call,168
PK-PVT-22000169,,NULL,NULL,Monday,On_Call,169
